"","year","state","income","lfpr"
"1",1977,1,0,0.36
"2",1978,1,0,0.34
"3",1979,1,0,0.32
"4",1980,1,0,0.33
"5",1981,1,0,0.3
"6",1982,1,0,0.31
"7",1983,1,0,0.3
"8",1984,1,0,0.34
"9",1985,1,0,0.33
"10",1986,1,0,0.34
"11",1987,1,0,0.31
"12",1988,1,0,0.28
"13",1989,1,0,0.29
"14",1990,1,0,0.27
"15",1991,1,0,0.28
"16",1992,1,0,0.27
"17",1993,1,0,0.29
"18",1994,1,0,0.26
"19",1995,1,0,0.27
"20",1996,1,0,0.27
"21",1997,1,0,0.25
"22",1998,1,0,0.26
"23",1999,1,0,0.25
"24",2000,1,0,0.25
"25",2001,1,0,0.24
"26",2002,1,0,0.2
"27",2003,1,0,0.21
"28",2004,1,0,0.24
"29",2005,1,0,0.19
"30",2006,1,0,0.18
"31",2007,1,0,0.19
"32",2008,1,0,0.19
"33",2009,1,0,0.18
"34",2010,1,0,0.23
"35",2011,1,0,0.21
"36",2012,1,0,0.18
"37",2013,1,0,0.17
"38",2014,1,0,0.18
"39",2015,1,0,0.16
"40",1977,2,0,0.4
"41",1978,2,0,0.45
"42",1979,2,0,0.42
"43",1980,2,0,0.43
"44",1981,2,0,0.44
"45",1982,2,0,0.42
"46",1983,2,0,0.44
"47",1984,2,0,0.43
"48",1985,2,0,0.45
"49",1986,2,0,0.46
"50",1987,2,0,0.45
"51",1988,2,0,0.41
"52",1989,2,0,0.39
"53",1990,2,0,0.43
"54",1991,2,0,0.38
"55",1992,2,0,0.38
"56",1993,2,0,0.41
"57",1994,2,0,0.39
"58",1995,2,0,0.35
"59",1996,2,0,0.39
"60",1997,2,0,0.36
"61",1998,2,0,0.4
"62",1999,2,0,0.4
"63",2000,2,0,0.4
"64",2001,2,0,0.35
"65",2002,2,0,0.33
"66",2003,2,0,0.33
"67",2004,2,0,0.33
"68",2005,2,0,0.36
"69",2006,2,0,0.34
"70",2007,2,0,0.28
"71",2008,2,0,0.33
"72",2009,2,0,0.29
"73",2010,2,0,0.28
"74",2011,2,0,0.27
"75",2012,2,0,0.26
"76",2013,2,0,0.25
"77",2014,2,0,0.26
"78",2015,2,0,0.23
"79",1977,4,0,0.38
"80",1978,4,0,0.33
"81",1979,4,0,0.39
"82",1980,4,0,0.37
"83",1981,4,0,0.33
"84",1982,4,0,0.34
"85",1983,4,0,0.36
"86",1984,4,0,0.34
"87",1985,4,0,0.34
"88",1986,4,0,0.35
"89",1987,4,0,0.34
"90",1988,4,0,0.29
"91",1989,4,0,0.32
"92",1990,4,0,0.28
"93",1991,4,0,0.25
"94",1992,4,0,0.29
"95",1993,4,0,0.3
